Camera.trap.days	species	sd
1	1	1.11	0.399368187885502
2	2	1.81	0.563090318750649
3	3	2.51	0.870330251958846
4	4	2.94	1.00322711609318
5	5	3.41	1.09262911540851
6	6	3.78	1.12438535397897
7	7	4.17	1.24766448481419
8	8	4.53	1.3443108707333
9	9	4.81	1.44036330994873
10	10	5.18	1.50003366965579
11	11	5.42	1.57749321662087
12	12	5.65	1.61041433905512
13	13	5.87	1.53514385862259
14	14	6.12	1.5060819460716
15	15	6.43	1.54563575883515
16	16	6.66	1.51903744110366
17	17	6.9	1.52089819288844
18	18	7.05	1.54641978175854
19	19	7.22	1.54121819848895
20	20	7.4	1.50420286618071
21	21	7.57	1.43022919686166
22	22	7.69	1.42626870688606
23	23	7.83	1.45681956066056
24	24	8.06	1.48949181219161
25	25	8.23	1.45543217921098
26	26	8.45	1.49325080940811
27	27	8.63	1.50188433830857
28	28	8.71	1.4653920080899
29	29	8.81	1.45432132111528
30	30	9	1.49747261825525
31	31	9.12	1.57813340706832
32	32	9.19	1.561500185169
33	33	9.35	1.55293791299464
34	34	9.45	1.49325080940811
35	35	9.58	1.55166902646047
36	36	9.67	1.55735465946378
37	37	9.74	1.52169496140178
38	38	9.88	1.49936013288363
39	39	10.01	1.49406232206766
40	40	10.05	1.5
41	41	10.13	1.49514365378533
42	42	10.22	1.48105886227906
43	43	10.33	1.53777354468968
44	44	10.42	1.53201524374619
45	45	10.5	1.52752523165195
46	46	10.58	1.49868629341187
47	47	10.64	1.5076907219756
48	48	10.69	1.52219272993623
49	49	10.75	1.52669842497072
50	50	10.78	1.50809264779835
51	51	10.88	1.52606975230128
52	52	10.95	1.5200677815828
53	53	11	1.52421531393446
54	54	11.03	1.51394194142979
55	55	11.08	1.50876228623453
56	56	11.12	1.52606975230128
57	57	11.2	1.53082799276547
58	58	11.24	1.51170517140497
59	59	11.31	1.52881415720575
60	60	11.38	1.54252842417699
61	61	11.45	1.5200677815828
62	62	11.51	1.55371825117696
63	63	11.62	1.50943162759492
64	64	11.69	1.54197171429205
65	65	11.73	1.51660839048879
66	66	11.75	1.52669842497072
67	67	11.8	1.49747261825525
68	68	11.87	1.48837244171361
69	69	11.92	1.51544239632051
70	70	11.95	1.51340808786131
71	71	12	1.53741222957161
72	72	12.04	1.56940444214686
73	73	12.06	1.56876068952855
74	74	12.11	1.56924352875048
75	75	12.12	1.56527985041047
76	76	12.16	1.54867163672092
77	77	12.16	1.54867163672092
78	78	12.23	1.51660839048879
79	79	12.27	1.4964942196664
80	80	12.29	1.47226891483036
81	81	12.32	1.48989864749183
82	82	12.37	1.46787140603204
83	83	12.39	1.49000033896003
84	84	12.42	1.49193115989264
85	85	12.48	1.50070690413592
86	86	12.55	1.52669842497072
87	87	12.57	1.51260695422829
88	88	12.6	1.49747261825525
89	89	12.63	1.48837244171361
90	90	12.68	1.4694189052792
91	91	12.68	1.4694189052792
92	92	12.71	1.45848267633583
93	93	12.76	1.45727017523737
94	94	12.8	1.44948615067896
95	95	12.81	1.44735914162605
96	96	12.82	1.45907124188262
97	97	12.86	1.44264067640287
98	98	12.92	1.43322762118981
99	99	12.94	1.40576015598736
100	100	13	1.42842712113851
101	101	13.03	1.4456832294801
102	102	13.09	1.42201308437061
103	103	13.13	1.41174725182318
104	104	13.18	1.43815257475792
105	105	13.2	1.44948615067896
106	106	13.25	1.44512416019657
107	107	13.28	1.40762713152814
108	108	13.33	1.39302011848539
109	109	13.37	1.39011662907263
110	110	13.39	1.37726856018305
111	111	13.43	1.35776851986462
112	112	13.45	1.36607526006498
113	113	13.47	1.36666666666667
114	114	13.52	1.32938810257679
115	115	13.54	1.31364248015073
116	116	13.54	1.31364248015073
117	117	13.55	1.31329641541713
118	118	13.59	1.29564148925807
119	119	13.6	1.29490064358918
120	120	13.61	1.28625209210498
121	121	13.63	1.29220663200511
122	122	13.66	1.29661564128007
123	123	13.69	1.30031076316705
124	124	13.71	1.28938948829485
125	125	13.71	1.28938948829485
126	126	13.73	1.27013082917955
127	127	13.75	1.29782257429259
128	128	13.8	1.32573593055923
129	129	13.81	1.33102072170803
130	130	13.83	1.34881167302664
131	131	13.88	1.35795449262499
132	132	13.91	1.3416031417297
133	133	13.95	1.33617122231903
134	134	14.01	1.31421905220238
135	135	14.04	1.31748152767224
136	136	14.07	1.33526375406857
137	137	14.08	1.32329554941861
138	138	14.12	1.34299529546323
139	139	14.14	1.33348483987701
140	140	14.18	1.35124334812741
141	141	14.21	1.3279816841867
142	142	14.23	1.35478948381457
143	143	14.25	1.35120597088585
144	144	14.27	1.3322343956108
145	145	14.3	1.32192085522347
146	146	14.3	1.32192085522347
147	147	14.33	1.34130194553311
148	148	14.35	1.3734495390671
149	149	14.37	1.36814406471621
150	150	14.39	1.36252142972676
151	151	14.41	1.35657769047815
152	152	14.42	1.35721044868517
153	153	14.44	1.35825199607749
154	154	14.45	1.3586609569571
155	155	14.46	1.34404785869576
156	156	14.46	1.34404785869576
157	157	14.47	1.35180388273364
158	158	14.5	1.34464895347478
159	159	14.51	1.35210273950681
160	160	14.51	1.35210273950681
161	161	14.57	1.38720706253372
162	162	14.6	1.39262124764558
163	163	14.61	1.38458322504308
164	164	14.61	1.38458322504308
165	165	14.62	1.38374400621917
166	166	14.62	1.38374400621917
167	167	14.63	1.37550725262363
168	168	14.65	1.38078443522719
169	169	14.66	1.39421604632797
170	170	14.67	1.40744772226505
171	171	14.69	1.39765315562708
172	172	14.69	1.39765315562708
173	173	14.72	1.37862469896853
174	174	14.72	1.37862469896853
175	175	14.73	1.36961986910916
176	176	14.75	1.3734495390671
177	177	14.78	1.36018418241833
178	178	14.79	1.3506077943435
179	179	14.8	1.34839972492648
180	180	14.83	1.34130194553311
181	181	14.83	1.34130194553311
182	182	14.85	1.33617122231903
183	183	14.85	1.33617122231903
184	184	14.88	1.31256553467942
185	185	14.9	1.29879509040829
186	186	14.92	1.29240203895809
187	187	14.93	1.30465367516487
188	188	14.94	1.30128141972954
189	189	14.95	1.29782257429259
190	190	14.97	1.3139115785941
191	191	14.99	1.31421905220238
