Sampling.Unit.Name	Start.Date	End.Date	ndays
C001_SD023	2019-09-27	2019-11-17	51
C002_SD007	2019-09-20	2019-09-25	5
C002_SD042	2019-01-24	2019-04-22	88
C003_SD005	2018-11-14	2018-11-28	14
C003_SD0052	2019-05-10	2019-08-31	113
C003_SD007	2019-02-11	2019-05-10	88
C003_SD039	2019-09-29	2019-12-06	68
C004_SD012	2019-10-19	2019-12-15	57
C004_SD026	2018-11-17	2019-01-10	54
C004_SD036	2019-01-31	2019-03-26	54
C005_SD034	2019-09-29	2019-12-06	68
C006_SD041	2019-05-16	2019-09-06	113
C007_SD042	2019-09-27	2019-11-11	45
C008_SD011	2019-02-07	2019-04-18	70
C009_SD025	2018-11-17	2018-12-02	15
C010_SD025	2019-02-11	2019-05-10	88
C010_SD035	2019-09-17	2019-11-15	59
C011_SD013	2018-11-15	2019-03-04	109
C0014_SD005	2019-02-28	2019-04-22	53
C014_SD017	2019-05-15	2019-09-03	111
C014_SD022	2018-12-13	2019-02-25	74
C014_SD025	2019-09-17	2019-11-06	50
C0015_SD006	2019-09-20	2019-12-07	78
C015_SD014	2018-11-26	2019-02-07	73
C015_SD016	2019-05-13	2019-09-03	113
C015_SD035	2019-02-07	2019-05-16	98
C017_SD008	2019-03-04	2019-05-11	68
C017_SD024	2018-11-15	2019-03-02	107
C017_SD026	2019-09-27	2019-11-15	49
C018_SD016	2018-12-18	2019-01-24	37
C018_SD040	2019-01-24	2019-04-22	88
C021_SD001	2019-02-28	2019-04-20	51
C021_SD021	2018-11-26	2019-02-25	91
C021_SD040	2019-09-17	2019-09-28	11
C022_SD018	2018-11-17	2019-01-28	72
C022_SD031	2019-01-28	2019-04-30	92
C023_SD003	2018-11-14	2019-02-09	87
C023_SD016	2019-02-11	2019-05-10	88
C023_SD024	2019-09-20	2019-12-07	78
C023_SD032	2019-05-10	2019-08-31	113
C024_SD004	2018-11-15	2018-12-05	20
C024_SD018	2019-03-04	2019-05-11	68
C025_SD006	2019-02-11	2019-05-05	83
C025_SD009	2018-11-14	2019-01-16	63
C025_SD038	2019-05-10	2019-05-20	10
C027_SD003	2019-02-28	2019-04-22	53
C027_SD008	2018-12-13	2019-02-25	74
C027_SD035	2019-05-16	2019-05-21	5
C027_SD041	2019-10-09	2019-10-13	4
C028_SD001	2019-09-20	2019-12-07	78
C028_SD015	2018-11-26	2019-02-07	73
C028_SD038	2019-02-07	2019-04-18	70
C029_SD012	2019-02-07	2019-02-27	20
C029_SD019	2018-11-26	2019-02-01	67
C030_SD017	2019-09-17	2019-11-15	59
C030_SD022	2019-03-04	2019-05-11	68
C031_SD003	2019-05-13	2019-06-09	27
C031_SD006	2018-12-19	2019-01-24	36
C031_SD015	2019-09-27	2019-11-10	44
C031_SD041	2019-01-24	2019-02-18	25
C032_SD013	2019-09-27	2019-11-12	46
C032_SD017	2018-12-17	2019-01-24	38
C032_SD026	2019-05-15	2019-08-09	86
C032_SD039	2019-01-24	2019-02-15	22
C033_SD001	2018-11-17	2019-01-31	75
C033_SD023	2019-05-16	2019-08-20	96
C033_SD032	2019-01-31	2019-02-08	8
C033_SD038	2019-09-27	2019-11-10	44
C034_SD021	2019-09-29	2019-12-14	76
C035_SD016	2019-10-19	2019-12-19	61
C036_SD032	2019-09-29	2019-12-18	80
C037_SD031	2019-09-27	2019-11-17	51
