Sampling.Unit.Name	BLACKBEAR	BOBCAT	CHIPMUNK	COTTONTAILRABBIT	COYOTE	DEERWHITETAILED	DOMESTICCAT	FISHER	FOXRED	MINK	OPOSSUM	OTHERSMALLMAMMAL	PORCUPINE	RACCOON	RIVEROTTER	SKUNKSTRIPED	SNOWSHOEHARE	SQUIRRELFLYING	SQUIRRELGRAY	SQUIRRELRED	WEASEL
1	C001_SD023	0	0	8	9	3	12	0	3	0	0	0	1	0	1	0	0	0	0	0	1	0
2	C0014_SD005	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
3	C0015_SD006	1	1	1	0	2	128	0	3	0	0	0	0	7	0	0	0	0	0	49	0	0
4	C002_SD007	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0
5	C002_SD042	0	0	0	0	1	18	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
6	C003_SD005	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	C003_SD007	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	C003_SD039	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	C004_SD012	0	0	0	0	0	5	0	0	0	0	0	2	0	2	0	0	0	0	12	0	0
10	C004_SD026	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	C004_SD036	1	0	0	0	0	27	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
12	C005_SD034	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
13	C006_SD041	1	0	0	0	2	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14	C007_SD042	0	0	14	0	2	7	0	2	0	0	0	3	2	7	0	0	0	0	20	0	0
15	C008_SD011	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	C009_SD025	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
17	C010_SD025	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	C010_SD035	0	0	2	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	3	0	0
19	C011_SD013	0	1	0	0	0	6	0	1	0	0	0	1	10	0	0	0	0	0	38	0	1
20	C014_SD017	0	0	0	2	0	19	0	1	0	0	0	0	2	44	0	0	0	0	0	0	0
21	C014_SD022	0	0	0	0	1	22	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0
22	C014_SD025	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
23	C015_SD014	0	0	0	0	2	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	C015_SD016	0	0	6	0	0	14	0	0	2	0	0	4	2	21	0	0	0	0	11	0	1
25	C015_SD035	0	0	0	0	0	6	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
26	C017_SD008	1	1	0	1	1	11	0	3	0	0	0	0	3	2	0	0	0	0	7	0	0
27	C017_SD024	0	0	0	0	0	45	0	0	0	0	0	0	0	2	0	0	0	0	24	1	0
28	C017_SD026	0	0	1	0	0	7	0	2	1	0	0	0	12	4	0	1	0	1	0	1	0
29	C018_SD016	0	0	0	0	1	12	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0
30	C018_SD040	0	0	0	0	6	42	0	0	1	0	0	1	3	3	0	0	0	0	1	0	1
31	C021_SD001	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
32	C021_SD021	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0
33	C021_SD040	1	0	8	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0
34	C022_SD018	0	0	0	0	4	81	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
35	C022_SD031	0	0	0	1	8	53	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0
36	C023_SD003	0	0	0	0	1	16	0	0	1	0	0	0	0	1	0	0	0	0	5	0	0
37	C023_SD016	0	0	0	0	0	7	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
38	C023_SD024	0	0	38	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	20	0	2
39	C023_SD032	0	0	6	0	4	9	0	0	1	0	0	0	3	1	0	1	0	0	4	0	0
40	C024_SD004	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
41	C024_SD018	0	1	0	0	0	23	0	1	0	0	0	0	3	1	0	0	0	0	16	0	0
42	C025_SD006	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	C025_SD009	0	0	0	0	1	3	0	0	2	0	0	3	0	0	0	0	0	0	4	1	0
44	C025_SD038	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1
45	C027_SD003	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	C027_SD008	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
47	C027_SD041	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0
48	C028_SD001	1	0	14	0	0	14	0	0	2	0	1	0	4	1	0	0	0	2	136	0	0
49	C028_SD015	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
50	C028_SD038	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	C029_SD012	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	C029_SD019	0	0	0	0	0	135	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0
53	C030_SD017	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	C030_SD022	2	0	0	0	2	27	0	0	0	0	0	0	12	2	0	0	0	0	11	0	0
55	C031_SD003	1	0	0	0	1	11	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
56	C031_SD006	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	C031_SD015	0	0	0	0	4	58	0	0	1	0	0	1	2	3	0	0	0	1	27	0	0
58	C031_SD041	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
59	C032_SD013	0	0	0	0	1	34	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
60	C032_SD017	0	0	0	0	2	14	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
61	C032_SD026	2	0	2	0	0	17	0	1	0	0	0	0	1	0	0	0	0	0	3	0	1
62	C032_SD039	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
63	C033_SD001	0	0	0	0	2	42	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
64	C033_SD023	0	0	29	0	0	14	0	1	0	0	0	14	0	2	0	0	0	0	0	0	0
65	C033_SD032	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	C033_SD038	0	0	0	0	3	13	0	2	1	0	0	0	0	5	2	0	0	0	0	1	0
67	C034_SD021	1	0	1	0	4	56	0	0	0	0	0	0	0	0	0	0	0	4	3	9	0
68	C035_SD016	0	1	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0
69	C036_SD032	1	0	19	0	14	16	0	1	0	0	0	0	16	0	0	0	0	4	11	28	0
70	C037_SD031	0	0	16	0	4	12	0	4	0	1	1	8	1	0	0	0	0	0	3	3	0
