species	naive
BLACKBEAR	0.180555555555556
BOBCAT	0.0694444444444444
CHIPMUNK	0.208333333333333
COTTONTAILRABBIT	0.0833333333333333
COYOTE	0.416666666666667
DEERWHITETAILED	0.916666666666667
DOMESTICCAT	0.0138888888888889
FISHER	0.361111111111111
FOXRED	0.222222222222222
MINK	0.0138888888888889
OPOSSUM	0.0416666666666667
OTHERSMALLMAMMAL	0.208333333333333
PORCUPINE	0.319444444444444
RACCOON	0.388888888888889
RIVEROTTER	0.0138888888888889
SKUNKSTRIPED	0.0416666666666667
SNOWSHOEHARE	0.0138888888888889
SQUIRRELFLYING	0.0694444444444444
SQUIRRELGRAY	0.402777777777778
SQUIRRELRED	0.166666666666667
WEASEL	0.0833333333333333
