,subject_ids,Img1,Img2,Img3,round,CamNum,SD_card,choice
1,31428286,03_05_SH_000001.JPG,03_05_SH_000002.JPG,03_05_SH_000003.JPG,1,NA,NA,NOTHINGHERE
2,31428287,03_05_SH_000004.JPG,03_05_SH_000005.JPG,03_05_SH_000006.JPG,1,NA,NA,NOTHINGHERE
3,31428288,03_05_SH_000007.JPG,03_05_SH_000008.JPG,03_05_SH_000009.JPG,1,NA,NA,NOTHINGHERE
4,31428289,03_05_SH_000010.JPG,03_05_SH_000011.JPG,03_05_SH_000012.JPG,1,NA,NA,NOTHINGHERE
5,31428291,04_26_WF_000001.JPG,04_26_WF_000002.JPG,04_26_WF_000003.JPG,1,NA,NA,NOTHINGHERE
6,31428292,04_26_WF_000004.JPG,04_26_WF_000005.JPG,04_26_WF_000006.JPG,1,NA,NA,NOTHINGHERE
7,31428293,04_26_WF_000007.JPG,04_26_WF_000008.JPG,04_26_WF_000009.JPG,1,NA,NA,NOTHINGHERE
8,31428294,04_26_WF_000010.JPG,04_26_WF_000011.JPG,04_26_WF_000012.JPG,1,NA,NA,NOTHINGHERE
9,31428295,04_26_WF_000013.JPG,04_26_WF_000014.JPG,04_26_WF_000015.JPG,1,NA,NA,CROWORRAVEN
10,31428296,04_26_WF_000016.JPG,04_26_WF_000017.JPG,04_26_WF_000018.JPG,1,NA,NA,NOTHINGHERE
11,31428297,04_26_WF_000019.JPG,04_26_WF_000020.JPG,04_26_WF_000021.JPG,1,NA,NA,DEERWHITETAILED
12,31428298,04_26_WF_000022.JPG,04_26_WF_000023.JPG,04_26_WF_000024.JPG,1,NA,NA,DEERWHITETAILED
13,31428299,04_26_WF_000025.JPG,04_26_WF_000026.JPG,04_26_WF_000027.JPG,1,NA,NA,DEERWHITETAILED
14,31428300,04_26_WF_000028.JPG,04_26_WF_000029.JPG,04_26_WF_000030.JPG,1,NA,NA,DEERWHITETAILED
15,31428302,04_26_WF_000034.JPG,04_26_WF_000035.JPG,04_26_WF_000036.JPG,1,NA,NA,DEERWHITETAILED
16,31428303,04_26_WF_000037.JPG,04_26_WF_000038.JPG,04_26_WF_000039.JPG,1,NA,NA,DOMESTICDOG
17,31428304,04_26_WF_000040.JPG,04_26_WF_000041.JPG,04_26_WF_000042.JPG,1,NA,NA,COYOTE
18,31428305,04_26_WF_000043.JPG,04_26_WF_000044.JPG,04_26_WF_000045.JPG,1,NA,NA,HUMAN
19,31428306,04_26_WF_000046.JPG,04_26_WF_000047.JPG,04_26_WF_000048.JPG,1,NA,NA,COYOTE
20,31428307,04_26_WF_000049.JPG,04_26_WF_000050.JPG,04_26_WF_000051.JPG,1,NA,NA,NOTHINGHERE
