GIS_name,R_name
EF1_1,ERDO_min_F_1
EF1_2,ERDO_min_F_2
EF1_3,ERDO_min_F_3
EF1_4,ERDO_min_F_4
EF1_5,ERDO_min_F_5
EF1_6,ERDO_min_F_6
EF1_7,ERDO_min_F_7
EF1_8,ERDO_min_F_8
EF1_9,ERDO_min_F_9
EF1_10,ERDO_min_F_10
EF1_11,ERDO_min_F_11
EF1_12,ERDO_min_F_12
EF1_13,ERDO_min_F_13
EF1_14,ERDO_min_F_14
EF1_15,ERDO_min_F_15
EF1_16,ERDO_min_F_16
EF1_17,ERDO_min_F_17
EF1_18,ERDO_min_F_18
EF1_19,ERDO_min_F_19
EF1_20,ERDO_min_F_20
EF1_21,ERDO_min_F_21
EF1_22,ERDO_min_F_22
EF1_23,ERDO_min_F_23
EF1_24,ERDO_min_F_24
EF1_25,ERDO_min_F_25
EF1_26,ERDO_min_F_26
EF1_27,ERDO_min_F_27
EF1_28,ERDO_min_F_28
EF1_29,ERDO_min_F_29
EF1_30,ERDO_min_F_30
EF1_31,ERDO_min_F_31
EF1_32,ERDO_min_F_32
EF1_33,ERDO_min_F_33
EF1_34,ERDO_min_F_34
EF1_35,ERDO_min_F_35
EF1_36,ERDO_min_F_36
EF1_37,ERDO_min_F_37
EF1_38,ERDO_min_F_38
EF1_39,ERDO_min_F_39
EF1_40,ERDO_min_F_40
EF1_41,ERDO_min_F_41
EF1_42,ERDO_min_F_42
EF1_43,ERDO_min_F_43
EF1_44,ERDO_min_F_44
EF1_45,ERDO_min_F_45
EF1_46,ERDO_min_F_46
EF1_47,ERDO_min_F_47
EF1_48,ERDO_min_F_48
EF1_49,ERDO_min_F_49
EF1_50,ERDO_min_F_50
EF1_51,ERDO_min_F_51
EF1_52,ERDO_min_F_52
EF1_53,ERDO_min_F_53
EF1_54,ERDO_min_F_54
EF1_55,ERDO_min_F_55
EF1_56,ERDO_min_F_56
EF1_57,ERDO_min_F_57
EF1_58,ERDO_min_F_58
EF1_59,ERDO_min_F_59
EF1_60,ERDO_min_F_60
EF1_61,ERDO_min_F_61
EF1_62,ERDO_min_F_62
EF1_63,ERDO_min_F_63
