"","open_water","developed_open_space","developed_low_intensity","developed_medium_inensity","developed_high_intensity","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herbaceous","pasture_hay","cultivated_crops","woody_wetlands","emergent_herbaceous_wetlands"
"P2_C0001",457200,633600,299700,46800,5400,2700,17252100,4405500,535500,859500,351000,5785200,180900,7115400,1064700
"P2_C0002",378000,708300,319500,56700,3600,7200,16779600,4094100,459900,920700,356400,5862600,316800,7452000,1274400
"P2_C0003",51300,1395900,131400,46800,7200,39600,16448400,6548400,3984300,314100,268200,2064600,3888000,3640500,162000
"P2_C0004",603900,1080000,58500,27900,0,10800,28231200,1687500,2043000,339300,167400,478800,0,4064400,202500
"P2_C0005",558000,1440000,184500,110700,5400,18900,21068100,6156900,1418400,1144800,580500,372600,0,5821200,111600
"P2_C0006",70200,1556100,250200,125100,13500,105300,13970700,6671700,3279600,359100,398700,3493800,3762900,4787100,140400
"P2_C0007",351000,594000,347400,72000,4500,7200,15327900,3954600,403200,774900,247500,7675200,908100,6943500,1382400
"P2_C0008",234900,1091700,116100,42300,9900,900,22333500,528300,215100,1312200,212400,8017200,55800,3649500,1164600
"P2_C0009",495000,960300,73800,44100,900,6300,28132200,1458000,1870200,267300,229500,1401300,0,3780000,269100
"P2_C0010",84600,1609200,205200,102600,5400,17100,19923300,7466400,1808100,1448100,672300,376200,0,5169600,102600
"P2_C0011",1357200,819000,124200,35100,9900,1800,21238200,954900,265500,1513800,182700,6417900,259200,4690800,1125000
"P2_C0012",351000,1561500,257400,92700,5400,63000,22286700,4610700,3528000,322200,198000,1982700,188100,3162600,390600
"P2_C0013",477000,1138500,78300,34200,0,29700,28153800,1592100,2082600,232200,235800,572400,0,4123800,228600
"P2_C0014",108900,1560600,263700,144900,20700,180900,13651200,6784200,3232800,400500,430200,3683700,3590100,4760100,169200
"P2_C0015",354600,616500,315900,50400,4500,2700,16577100,4297500,498600,837900,321300,6261300,334800,7300800,1212300
"P2_C0016",1872900,812700,112500,44100,9900,2700,20994300,1060200,313200,1499400,185400,6754500,143100,4256100,925200
"P2_C0017",144900,524700,360000,79200,5400,5400,14813100,3470400,356400,728100,132300,8862300,1389600,6813000,1296900
"P2_C0018",635400,1057500,94500,49500,900,7200,28683000,1791900,1682100,243000,250200,960300,0,3315600,225000
"P2_C0019",206100,1609200,205200,119700,5400,13500,20304900,7580700,2009700,1071900,510300,337500,0,4919400,98100
"P2_C0020",414900,1531800,184500,109800,5400,20700,21031200,6150600,1287900,1463400,691200,379800,0,5563800,148500
"P2_C0021",310500,931500,106200,35100,9000,1800,21954600,813600,266400,1382400,207000,7056900,308700,4446000,1163700
"P2_C0022",383400,1571400,267300,95400,6300,74700,22783500,5188500,3313800,358200,185400,1602000,188100,2814300,162000
"P2_C0023",279000,1566000,255600,93600,4500,63900,21192300,4941000,3690900,328500,212400,2238300,271800,3328200,513000
"P2_C0024",68400,1685700,221400,122400,25200,25200,14982300,8181000,3749400,375300,347400,2127600,2771100,4202100,110700
"P2_C0025",797400,1101600,94500,45000,900,15300,27463500,2416500,1983600,373500,124200,825300,0,3581100,155700
"P2_C0026",496800,1561500,210600,130500,5400,24300,18935100,7850700,2078100,1001700,450000,425700,32400,5599800,182700
"P2_C0027",460800,634500,299700,46800,5400,2700,17253900,4405500,535500,860400,351000,5779800,180900,7114500,1064700
"P2_C0028",787500,1614600,249300,97200,4500,78300,22344300,5508900,3099600,389700,204300,1417500,178200,2811600,207000
"P2_C0029",1199700,820800,216900,30600,1800,4500,18537300,4392000,607500,1020600,532800,3484800,29700,7002000,1114200
"P2_C0030",433800,773100,301500,52200,2700,2700,17464500,4071600,450000,926100,392400,5169600,249300,7433100,1265400
"P2_C0031",710100,2096100,363600,190800,36000,206100,12390300,8869500,3743100,465300,651600,2445300,2142900,4509900,171000
"P2_C0032",445500,1593900,251100,99900,4500,72900,21444300,5750100,3572100,381600,188100,1514700,188100,3271500,207900
"P2_C0033",233100,1001700,118800,42300,9000,900,22187700,516600,218700,1467000,215100,7139700,338400,4313700,1179900
"P2_C0034",48600,1397700,141300,45000,4500,39600,16300800,7020000,4003200,342900,252900,2029500,3726000,3497400,152100
"P2_C0035",72000,1469700,75600,28800,6300,45000,18953100,7188300,4275900,361800,368100,669600,1879200,3431700,168300
"P2_C0036",466200,1581300,190800,111600,5400,21600,20747700,6365700,1325700,1438200,675900,378000,0,5533200,153900
"P2_C0037",518400,1125900,74700,34200,0,900,28224900,1761300,2153700,238500,222300,588600,0,3837600,202500
"P2_C0038",628200,1246500,174600,70200,3600,11700,27877500,2279700,2078100,389700,181800,1259100,0,2637000,153000
"P2_C0039",589500,1929600,311400,172800,30600,127800,13546800,8710200,3953700,386100,468000,2304900,2124000,4229100,108000
"P2_C0040",631800,1114200,75600,33300,900,900,28243800,2002500,1997100,353700,165600,601200,0,3591900,188100
"P2_C0041",507600,1597500,256500,100800,4500,73800,21592800,5739300,3442500,369900,199800,1534500,188100,3183300,207900
"P2_C0042",120600,1611900,207900,104400,5400,13500,20069100,7757100,1987200,1281600,589500,373500,0,4813200,58500
"P2_C0043",460800,1643400,198900,113400,6300,18900,20681100,6741000,1509300,1334700,627300,369900,0,5152500,129600
"P2_C0044",64800,1317600,89100,37800,7200,24300,16395300,8002800,4155300,319500,261900,1424700,2354400,4368600,173700
"P2_C0045",365400,615600,333000,71100,4500,7200,15856200,3661200,381600,783900,208800,7309800,991800,6937200,1464300
"P2_C0046",365400,642600,333900,67500,4500,7200,16049700,3902400,411300,889200,315900,6802200,754200,7071300,1373400
