"cam_buffer","total_length"
"1_erdo M max",39.2943950822
"1_pepe max",34327.2344160936
"1_pepe min",3254.1352539404
"10_pepe max",8163.2810515122
"10_pepe min",1885.6127101106
"11_erdo M max",479.7731382244
"11_pepe max",7529.0470715742
"11_pepe min",1972.547429595
"12_erdo F max",750.082568326
"12_erdo F min",414.562199482
"12_erdo M max",2155.37043206992
"12_erdo M min",461.346883291
"12_pepe max",22586.4687659711
"12_pepe min",4185.089778164
"13_erdo F max",633.840706146
"13_erdo F min",244.095738347
"13_erdo M max",1513.903620938
"13_erdo M min",302.020890298
"13_pepe max",21638.8376421378
"13_pepe min",3931.372273471
"14_pepe max",12675.4276634461
"14_pepe min",1651.40108278
"15_erdo M max",738.523545323
"15_pepe max",11696.870051307
"15_pepe min",2596.9435807378
"16_erdo F max",492.273188513
"16_erdo F min",109.577828056
"16_erdo M max",1070.160134386
"16_erdo M min",178.62763974
"16_pepe max",11032.3342867805
"16_pepe min",2324.832938707
"17_pepe max",11229.71014786
"17_pepe min",1403.986271213
"18_pepe max",11749.8301535209
"18_pepe min",1561.552986034
"19_erdo F max",647.443748266
"19_erdo F min",311.776011987
"19_erdo M max",1085.343611879
"19_erdo M min",363.89069766
"19_pepe max",11322.7432211565
"19_pepe min",2519.8242381771
"2_pepe max",37591.0339524173
"2_pepe min",2921.0262416404
"20_erdo M max",595.952352553
"20_pepe max",11975.9486598295
"20_pepe min",2068.1054192249
"21_erdo F max",494.035171684
"21_erdo F min",129.297137044
"21_erdo M max",908.839714028
"21_erdo M min",221.685414562
"21_pepe max",12269.5119191218
"21_pepe min",2144.3660400899
"22_erdo F max",435.1467420692
"22_erdo M max",1191.7675590395
"22_pepe max",29715.0324069037
"22_pepe min",3620.1657582614
"23_pepe max",34352.2627738276
"23_pepe min",3253.8172344044
"24_pepe max",37560.9722830492
"24_pepe min",2925.9678069294
"25_erdo F max",630.930574862
"25_erdo F min",234.950884092
"25_erdo M max",1496.404332204
"25_erdo M min",296.075523858
"25_pepe max",21632.3320256038
"25_pepe min",3929.091391122
"26_erdo F max",678.372656611
"26_erdo F min",413.869387817
"26_erdo M max",1833.8602387707
"26_erdo M min",456.777391954
"26_pepe max",23209.0102282284
"26_pepe min",4369.432338569
"27_erdo F max",748.228618892
"27_erdo F min",413.346750264
"27_erdo M max",2146.37263677699
"27_erdo M min",460.589004529
"27_pepe max",22564.7855817295
"27_pepe min",4182.043648455
"28_pepe max",8196.0547532302
"28_pepe min",1886.5157569877
"29_erdo M max",589.5530580268
"29_pepe max",8733.0959975572
"29_pepe min",1974.589734709
"3_erdo F max",647.913829063
"3_erdo F min",312.766620814
"3_erdo M max",1085.45882421
"3_erdo M min",365.023450675
"3_pepe max",11322.8024788838
"3_pepe min",2520.0764616785
"30_erdo M max",467.8286865602
"30_pepe max",7533.0967731842
"30_pepe min",1971.991512355
"31_erdo M max",87.0041842407
"31_pepe max",11733.4435030738
"31_pepe min",1864.69243619
"32_pepe max",7006.4535063515
"32_pepe min",1512.8870570187
"33_pepe max",7106.0976937947
"33_pepe min",1598.7268592205
"34_pepe max",7670.90340441432
"35_pepe max",7729.29859940637
"35_pepe min",1470.462740784
"36_erdo F max",727.46812232061
"36_erdo M max",1683.5405271358
"36_pepe max",19889.2093878812
"36_pepe min",4925.9650876339
"37_erdo F max",187.855224963
"37_erdo M max",1892.1673028282
"37_erdo M min",6.62530232506
"37_pepe max",20870.508940447
"37_pepe min",4856.8142025739
"38_pepe max",37335.918858545
"38_pepe min",2958.4552079324
"39_erdo F max",292.6218934465
"39_erdo M max",1400.7202366511
"39_pepe max",30545.2943188138
"39_pepe min",3628.0176524664
"4_erdo M max",736.295134475
"4_pepe max",11693.6042502626
"4_pepe min",2594.6987497273
"40_erdo F max",495.6106547293
"40_erdo M max",1208.5000269108
"40_erdo M min",219.946138857
"40_pepe max",29032.0286822439
"40_pepe min",3647.7433373434
"41_erdo F max",349.431893521
"41_erdo M max",775.4386757252
"41_pepe max",30155.7170780442
"41_pepe min",3529.1198081104
"42_erdo M max",447.870503923
"42_pepe max",33674.9708712787
"42_pepe min",3021.4646754934
"43_pepe max",35940.6557893105
"43_pepe min",2874.9495339294
"44_pepe max",36308.8201890624
"44_pepe min",2539.9750506539
"45_pepe max",37660.4258947731
"45_pepe min",2311.1436223932
"46_erdo F max",355.65538017
"46_erdo M max",836.521854506
"46_pepe max",28753.8522989443
"46_pepe min",3200.52116619756
"47_pepe max",46371.2639663772
"47_pepe min",2065.2203264873
"48_pepe max",42194.7903816867
"48_pepe min",1214.548402162
"49_pepe max",41735.1696092329
"49_pepe min",1772.690723418
"5_erdo F max",518.917243853
"5_erdo F min",159.607853163
"5_erdo M max",1076.18314182
"5_erdo M min",218.546422607
"5_pepe max",11010.9998702461
"5_pepe min",2321.64079509
"50_pepe max",40655.7051468904
"50_pepe min",2301.4838464666
"51_pepe max",43892.0941103324
"51_pepe min",1607.5470685185
"52_pepe max",47270.2581309404
"52_pepe min",2073.6159216487
"53_pepe max",47398.2403557051
"53_pepe min",2117.3046940093
"54_pepe max",48134.3321011975
"54_pepe min",2488.1428130554
"55_pepe max",46347.5666881265
"55_pepe min",1897.4290672114
"56_erdo F max",503.652909972
"56_erdo F min",129.809801922
"56_erdo M max",1071.693923752
"56_erdo M min",194.082461178
"56_pepe max",11043.3474666537
"56_pepe min",2323.94617513
"57_erdo F max",646.61575857
"57_erdo F min",311.004998297
"57_erdo M max",1085.586229025
"57_erdo M min",362.471555881
"57_pepe max",11318.2465311608
"57_pepe min",2516.0632776151
"58_erdo M max",732.290755564
"58_pepe max",11694.4943556221
"58_pepe min",2593.4687124243
"59_erdo F max",631.070414914
"59_erdo F min",243.495769649
"59_erdo M max",1497.065398086
"59_erdo M min",300.624484376
"59_pepe max",21636.1499398149
"59_pepe min",3929.627542296
"6_erdo M max",78.1231273901
"6_pepe max",11731.9447976548
"6_pepe min",1846.52894058
"60_erdo F max",678.252194339
"60_erdo F min",414.152660668
"60_erdo M max",1827.2081134709
"60_erdo M min",456.886117959
"60_pepe max",23239.5636307869
"60_pepe min",4371.74186495
"61_erdo F max",751.225952276
"61_erdo F min",413.794203336
"61_erdo M max",2159.93773092873
"61_erdo M min",461.847093471
"61_pepe max",22556.102354154
"61_pepe min",4175.795092276
"62_pepe max",7134.95577307514
"62_pepe min",1124.844475454
"63_pepe max",6893.6247477925
"63_pepe min",1633.272840107
"64_pepe max",7135.85588226302
"64_pepe min",1123.501282599
"65_pepe max",9181.59011977457
"66_pepe max",12383.2079179971
"66_pepe min",199.859600765
"67_erdo M max",587.3874012857
"67_pepe max",8729.7700308472
"67_pepe min",1974.829712376
"68_pepe max",8177.7850440882
"68_pepe min",1885.8638443469
"69_erdo M max",462.7753057294
"69_pepe max",7532.1296015112
"69_pepe min",1971.692473206
"7_erdo M max",601.60573868
"7_pepe max",11982.4718300121
"7_pepe min",2074.0382996039
"70_erdo F max",463.1763690636
"70_erdo M max",1256.1674509273
"70_pepe max",29346.8290201797
"70_pepe min",3641.8378274134
"71_pepe max",34448.1959775119
"71_pepe min",3243.5169948624
"72_pepe max",37582.0871007665
"72_pepe min",2923.1087938404
"73_pepe max",48120.4107702799
"73_pepe min",2468.8061942133
"74_pepe max",48106.8835255047
"74_pepe min",2330.8261610872
"75_pepe max",11947.0974380841
"75_pepe min",2675.586769073
"76_erdo F max",463.5078635303
"76_erdo M max",1264.529992797
"76_pepe max",29337.1251262109
"76_pepe min",3643.4268249974
"77_pepe max",37642.059292089
"77_pepe min",2916.5156296514
"78_erdo F max",604.3696787898
"78_erdo F min",254.960809898
"78_erdo M max",1570.5554458554
"78_erdo M min",311.036123594
"78_pepe max",32340.8550650003
"78_pepe min",3641.6564866374
"79_pepe max",10622.9867554166
"79_pepe min",1323.8838889963
"8_erdo F max",498.794642165
"8_erdo F min",147.246724728
"8_erdo M max",912.721046207
"8_erdo M min",232.633015376
"8_pepe max",12275.0754862978
"8_pepe min",2144.7968144719
"80_erdo F max",248.901193488
"80_erdo M max",779.4944759674
"80_pepe max",29938.1378776148
"80_pepe min",3369.6156136714
"81_erdo M max",544.561750459
"81_pepe max",32913.2965887305
"81_pepe min",3045.9250753274
"82_pepe max",38847.2863165604
"82_pepe min",2219.6825501786
"83_erdo F max",649.071280192
"83_erdo F min",401.675735457
"83_erdo M max",989.285256503
"83_erdo M min",440.297280081
"83_pepe max",10629.8042457237
"83_pepe min",2445.07355683847
"84_erdo F max",579.057774039
"84_erdo F min",273.898679842
"84_erdo M max",937.887518963
"84_erdo M min",327.827429843
"84_pepe max",10363.3203017607
"84_pepe min",2368.7486063881
"85_erdo F max",470.457686978
"85_erdo M max",846.524413902
"85_erdo M min",160.440615043
"85_pepe max",13748.0173376577
"85_pepe min",3841.2100102115
"86_pepe max",15560.4866052292
"86_pepe min",486.4161853991
"9_erdo M max",586.0238790537
"9_pepe max",8733.7061788972
"9_pepe min",1973.621432856
