FID_camera,Habitat,Tree,distance,ORIG_FID,Buff_Names,FID_NYS_St,CompleteSt,HighwayNum,SPEED,Shape_Leng,Orig_FID_t,cam_buffer
3,Deciduous,Sugar maple,3.52300000000,3,pepe max,351806,County Route 27,27,35,151.26122801000,3,3_pepe max
19,Deciduous,Sugar maple,3.52300000000,19,pepe max,351806,County Route 27,27,35,150.47847810700,19,19_pepe max
57,Deciduous,Sugar maple,3.52300000000,57,pepe max,351806,County Route 27,27,35,149.23406909800,57,57_pepe max
3,Deciduous,Sugar maple,3.52300000000,3,pepe max,351807,Donnerville Road,,25,970.14008171400,3,3_pepe max
19,Deciduous,Sugar maple,3.52300000000,19,pepe max,351807,Donnerville Road,,25,970.14008171400,19,19_pepe max
57,Deciduous,Sugar maple,3.52300000000,57,pepe max,351807,Donnerville Road,,25,970.14008171400,57,57_pepe max
89,Deciduous,Sugar maple,1.38200000000,3,pepe min,351807,Donnerville Road,,25,970.14008171400,3,3_pepe min
105,Deciduous,Sugar maple,1.38200000000,19,pepe min,351807,Donnerville Road,,25,970.14008171400,19,19_pepe min
143,Deciduous,Sugar maple,1.38200000000,57,pepe min,351807,Donnerville Road,,25,970.14008171400,57,57_pepe min
3,Deciduous,Sugar maple,3.52300000000,3,pepe max,351808,County Route 27,27,35,2131.93683270000,3,3_pepe max
19,Deciduous,Sugar maple,3.52300000000,19,pepe max,351808,County Route 27,27,35,2131.93683270000,19,19_pepe max
57,Deciduous,Sugar maple,3.52300000000,57,pepe max,351808,County Route 27,27,35,2131.93683270000,57,57_pepe max
89,Deciduous,Sugar maple,1.38200000000,3,pepe min,351808,County Route 27,27,35,99.07584183250,3,3_pepe min
105,Deciduous,Sugar maple,1.38200000000,19,pepe min,351808,County Route 27,27,35,98.59970603110,19,19_pepe min
143,Deciduous,Sugar maple,1.38200000000,57,pepe min,351808,County Route 27,27,35,95.68851242710,57,57_pepe min
3,Deciduous,Sugar maple,3.52300000000,3,pepe max,351809,Buck Brook Road,,25,1184.58016283000,3,3_pepe max
19,Deciduous,Sugar maple,3.52300000000,19,pepe max,351809,Buck Brook Road,,25,1184.58016283000,19,19_pepe max
57,Deciduous,Sugar maple,3.52300000000,57,pepe max,351809,Buck Brook Road,,25,1184.58016283000,57,57_pepe max
