"","Buffer_cam","Cam_SD","road_density_m_per_km2"
"1","EF1_C0003","C004_SD026",1970.51360327775
"2","EF1_C0005","C008_SD023",0
"3","EF1_C0006","C009_SD025",804.381338153619
"4","EF1_C0013","C021_SD021",0
"5","EF1_C0017","C025_SD009",0
"6","EF1_C0019","C028_SD015",0
"7","EF1_C0022","C031_SD006",0
"8","EF1_C0028","C002_SD042",0
"9","EF1_C0035","C005_SD034",1120.34906406659
"10","EF1_C0036","C006_SD005",0
"11","EF1_C0038","C006_SD041",0
"12","EF1_C0039","C006_SD042",1084.32770773486
"13","EF1_C0042","C008_SD011",0
"14","EF1_C0043","C008_SD021",0
"15","EF1_C0054","C015_SD016",0
"16","EF1_C0055","C015_SD035",0
"17","EF1_C0062","C021_SD001",0
"18","EF1_C0065","C022_SD022",0
"19","EF1_C0072","C025_SD006",0
"20","EF1_C0079","C028_SD038",0
"21","EF1_C0080","C029_SD012",0
"22","EF1_C0089","C032_SD039",0
"23","EF1_C0090","C033_SD023",0
"24","EF1_C0092","C033_SD038",0
"25","EF1_C0093","C034_SD021",1732.49663770509
"26","EF1_C0103","C022_SD058",1524.60795689842
"27","EF1_C0105","C023_SD017",1679.82857105649
"28","EF1_C0107","C027_SD025",0
"29","EF1_C0109","C028_SD018",1569.65807077897
"30","EF1_C0111","C031_SD059",1224.5050090442
"31","EF1_C0112","C031_SD095",4258.99508637843
"32","EF1_C0116","C034_SD063",54.6419488950756
"33","EF1_C0117","C034_SD096",2034.19760687097
"34","EF1_C0123","C041_SD021",1862.40392267013
"35","EF1_C0124","C041_SD065",0
"36","EF1_C0126","C042_SD078",0
"37","EF1_C0127","C043_SD022",871.838704916803
"38","EF1_C0128","C043_SD082",2299.96710422242
"39","EF1_C0129","C044_SD004",1540.80262062162
"40","EF1_C0131","C045_SD086",3329.17331631559
"41","EF1_C0133","C046_SD093",1803.60426913503
"42","EF1_C0134","C047_SD076",1368.09619844464
"43","EF1_C0136","C048_SD064",2233.25260379526
"44","EF1_C0137","C048_SD071",2160.91909900798
"45","EF1_C0138","C049_SD026",3076.87815677067
"46","EF1_C0139","C049_SD084",2271.04228454868
"47","EF1_C0140","C050_SD061",1854.84497261256
"48","EF1_C0141","C050_SD083",1007.96739251943
"49","EF1_C0143","C051_SD024",1993.10432238728
"50","EF1_C0148","C054_SD008",3666.97415381682
"51","EF1_C0149","C054_SD077",1666.22693347575
"52","EF1_C0150","C021_SD018",0
"53","EF1_C0151","C021_SD075",0
"54","EF1_C0156","C024_SD002",0
"55","EF1_C0177","C038_SD017",0
"56","EF1_C0178","C038_SD095",0
"57","EF1_C0185","C043_SD061",0
"58","EF1_C0186","C043_SD093",0
"59","EF1_C0188","C045_SD071",0
"60","EF1_C0189","C045_SD077",0
"61","EF1_C0190","C046_SD017",0
"62","EF1_C0191","C046_SD072",0
"63","EF1_C0192","C047_SD074",0
"64","EF1_C0193","C047_SD086",0
"65","EF1_C0194","C048_SD007",0
"66","EF1_C0195","C048_SD024",0
"67","EF1_C0196","C049_SD041",0
"68","EF1_C0197","C049_SD060",0
"69","EF1_C0201","C051_SD032",0
"70","EF1_C0202","C051_SD086",0
"71","EF1_C0203","C052_SD005",0
"72","EF1_C0204","C052_SD009",0
"73","EF1_C0205","C052_SD063",0
"74","EF1_C0216","C023_SD162",0
"75","EF1_C0217","C025_SD032",0
"76","EF1_C0219","C028_SD004",0
"77","EF1_C0220","C028_SD009",0
"78","EF1_C0222","C028_SD085",0
"79","EF1_C0223","C031_SD063",387.215896600119
"80","EF1_C0224","C031_SD069",387.215896600119
"81","EF1_C0228","C032_SD034",0
"82","EF1_C0229","C032_SD071",0
"83","EF1_C0230","C032_SD093",0
"84","EF1_C0232","C034_SD008",2019.44739723897
"85","EF1_C0233","C034_SD101",2019.44739723897
"86","EF1_C0234","C035_SD005",0
"87","EF1_C0235","C035_SD016",0
"88","EF1_C0236","C035_SD084",0
"89","EF1_C0237","C036_SD004",0
"90","EF1_C0238","C036_SD032",0
"91","EF1_C0239","C037_SD065",0
"92","EF1_C0244","C039_SD00A",0
"93","EF1_C0250","C041_SD038",0
"94","EF1_C0253","C041_SD087",0
"95","EF1_C0255","C046_SD076",0
"96","EF1_C0280","C054_SD058",0
"97","EF1_C0282","C054_SD091",0
"98","EF1_C0283","C056_SD001",0
"99","EF1_C0284","C056_SD018",0
"100","EF1_C0285","C056_SD070",0
"101","EF1_C0286","C056_SD095",0
"102","EF1_C0287","C056_SD161",0
"103","EF1_C0295","C032_SD065",0
"104","EF1_C0297","C036_SD064",0
"105","EF1_C0299","C039_SD083",0
"106","EF1_C0300","C041_SD025",0
"107","EF1_C0307","C051_SD005",0
"108","EF1_C0312","C059_SD005",0
"109","EF1_C0313","C059_SD089",0
"110","EF1_C0314","C059_SD095",0
"111","EF1_C0321","C036_SD034",0
"112","EF1_C0321","C057_SD066",0
"113","EF1_C0323","C031_SD032",0
"114","EF1_C0324","C036_SD018",0
"115","EF1_C0325","C066_SD095",2277.59466289117
"116","EF1_C0326","C064_SD006",0
"117","EF1_C0328","C048_SD064",0
"118","EF1_C0331","C048_SD035",0
"119","EF1_C0333","C039_SD062",0
"120","EF1_C0334","C050_SD087",2037.31956121917
"121","EF1_C0335","C038_SD001",2940.69844853707
"122","EF1_C0337","C051_SD162",0
"123","EF1_C0338","C041_SD070",0
"124","EF1_C0339","C056_SD041",1924.41917957625
"125","EF1_C0340","C060_SD089",1444.76114222918
"126","EF1_C0343","C048_SD083",0
