deployment,year,year_range,project_na,subproject,camera_tra,project_tr,camera_bra,camera_mod,cam_num,sd_num,Cam_SD,round,media_type,phase,protocol,HEXID,northing,easting,latitude,longitude,deployme_1,deployme_2,last_pic_d,last_use_d,collection,collecti_1,cam_nights,total_imag,forest_or_,forest_eco,habitat,setting,bushnell_b,bushnell_1,battery_pe,battery__1,device_wor,lithium_or,tem_logger,snowstake_,cam_orient,cam_orie_1,tree_speci,cam_lost,FLAG,FLAG_comme,deployme_3,distance,ORIG_FID,Shape_Leng,Shape_Area,Buffer,Buffer_cam
C0001,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,2,7,C002_SD007,1,camera,,,,4916270.01000000000,489540.30000000000,44.36989000000,-75.73240000000,6-Dec-2018,,,,24-Jan-2019,,,76,Whippoorwill,,Pine,,3,0,0,0,TRUE,,,,80,,red maple,,TRUE,Incorrect dates,All dates are incorrect,3.52300000000,1,22135.66183720000,38991968.32620000000,P2,P2_C0001
C0002,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,3,5,C003_SD005,1,camera,,,,4913658.78000000000,442304.33000000000,44.37391389000,-75.72419318000,14-Nov-2018,,,28-Nov-2018,11-Feb-2019,,,129,South Hammond,,Deciduous,,2,0,0,0,TRUE,,,,142,,red pine,,,,Barbed wire at base of tree; Some have incorrect dates,3.52300000000,2,22135.66183720000,38991968.32620000000,P2,P2_C0002
C0003,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,4,26,C004_SD026,1,camera,,,,0.00000000000,0.00000000000,44.65892862000,-74.75931834000,27-Nov-2018,,,10-Jan-2019,31-Jan-2019,,,51,Whisky Flats,,Pine,,2,0,0,0,TRUE,,,,240,,red pine,,,,yellow batteries,3.52300000000,3,22135.66183720000,38991968.32620000000,P2,P2_C0003
C0004,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,2,Bushnell,Bushnell HD,6,2,C006_SD002,1,camera,,,,4920305.38000000000,494278.08000000000,44.43602008000,-75.07189704000,26-Nov-2018,,,,28-Feb-2019,,,0,Donnerville,,Deciduous,,0,0,0,0,TRUE,,,,200,,red maple,,TRUE,Do not use,,3.52300000000,4,22135.66183720000,38991968.32620000000,P2,P2_C0004
C0005,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,8,23,C008_SD023,1,camera,,,,4913451.80000000000,493364.92000000000,44.37431569000,-75.08328402000,26-Nov-2018,,,28-Nov-2018,7-Feb-2019,,,294,Degrasse,,Pine,,0,0,0,0,TRUE,,,,0,,white pine,,TRUE,Date malfunction after 28 Nov 2018?,Camera date malfunction after this date,3.52300000000,5,22135.66183720000,38991968.32620000000,P2,P2_C0005
C0006,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,2,Bushnell,Bushnell HD,9,25,C009_SD025,1,camera,,,,4945167.40000000000,515829.98000000000,44.65969187000,-74.80032908000,27-Nov-2018,,,2-Dec-2018,31-Jan-2019,,,6,Whisky Flats,,Pine,,2,0,0,0,TRUE,,,,328,,red pine,,,,yellow batteries,3.52300000000,6,22135.66183720000,38991968.32620000000,P2,P2_C0006
C0007,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,2,Bushnell,Bushnell HD,10,10,C010_SD010,1,camera,,,,4914365.34000000000,441984.77000000000,44.38024394000,-75.72828198000,14-Nov-2018,,,,11-Feb-2019,,,0,South Hammond,,Deciduous,,0,0,0,0,TRUE,,,,146,,white pine,,TRUE,no photos,Placed on a game trail; No lock,3.52300000000,7,22135.66183720000,38991968.32620000000,P2,P2_C0007
C0008,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,11,13,C011_SD013,1,camera,,,,4918804.39000000000,459826.12000000000,44.42141456000,-75.50466882000,15-Nov-2018,,,4-Mar-2019,4-Mar-2019,,,0,Beaver Creek,,Deciduous,,0,0,0,0,TRUE,,,,306,,elm spp,,,,Sounds of hunting. Porcupine in tree,3.52300000000,8,22135.66183720000,38991968.32620000000,P2,P2_C0008
C0009,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,14,22,C014_SD022,1,camera,,,,0.00000000000,0.00000000000,44.44281992000,-75.09306895000,13-Dec-2018,,,25-Feb-2019,25-Feb-2019,,,123,Donnerville,,Deciduous,,3,0,0,0,TRUE,,,,172,,white ash,,,,7 batteries; scale bar is tree branch,3.52300000000,9,22135.66183720000,38991968.32620000000,P2,P2_C0009
C0010,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,2,Bushnell,Bushnell HD,15,14,C015_SD014,1,camera,,,,4911602.39000000000,493130.42000000000,44.35765810000,-75.08620304000,26-Nov-2018,,,7-Feb-2019,7-Feb-2019,,,243,Degrasse,,Pine,,0,0,0,0,TRUE,,,,354,,white pine,,,,,3.52300000000,10,22135.66183720000,38991968.32620000000,P2,P2_C0010
