FID_multir,esrignss_l,esrignss_1,Habitat,Tree,distance,ORIG_FID,Buff_Names,FID_nny_nh,ComID,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,FType,FCode,Shape_Leng,Shape_Le_1,Shape_Area
3,44.44093078450,-75.07257541830,Deciduous,Sugar maple,3.52300000000,3,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
4,44.43878757220,-75.07202167390,Deciduous,Juneberry,3.52300000000,4,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
5,44.44034226410,-75.07367510420,Deciduous,,3.52300000000,5,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
14,44.42558274720,-75.10409752690,Deciduous,Sugar Maple,3.52300000000,14,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
15,44.43879955910,-75.07201029390,Deciduous,Juneberry,3.52300000000,15,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
16,44.44020994750,-75.07366055010,Deciduous,Yellow birch,3.52300000000,16,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
17,44.42466295600,-75.10299293150,Deciduous,Black ash,3.52300000000,17,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
18,44.42395043080,-75.10330530910,Deciduous,Sugar maple,3.52300000000,18,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
19,44.44092514460,-75.07257740550,Deciduous,Sugar maple,3.52300000000,19,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
34,44.41598915630,-75.07160635320,Mixed,Cat scratch,3.52300000000,34,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
35,44.41426310130,-75.06637775300,Deciduous,Red maple,3.52300000000,35,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,184.79179469900,1472.86428170000
56,44.44025583400,-75.07361533620,Deciduous,Sugar maple,3.52300000000,56,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
57,0.00000000000,0.00000000000,Deciduous,Sugar maple,3.52300000000,57,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
58,44.43876746480,-75.07202207650,Deciduous,Juneberry,3.52300000000,58,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
65,44.41868831060,-75.07125604550,Deciduous,Basswood,3.52300000000,65,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
66,44.42121929610,-75.06791698820,Deciduous,Beech,3.52300000000,66,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
79,44.42627573230,-75.10196584970,Oldfield,Interesting old field opening,3.52300000000,79,pepe max,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
89,44.44093078450,-75.07257541830,Deciduous,Sugar maple,1.38200000000,3,pepe min,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
90,44.43878757220,-75.07202167390,Deciduous,Juneberry,1.38200000000,4,pepe min,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
91,44.44034226410,-75.07367510420,Deciduous,,1.38200000000,5,pepe min,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
101,44.43879955910,-75.07201029390,Deciduous,Juneberry,1.38200000000,15,pepe min,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
102,44.44020994750,-75.07366055010,Deciduous,Yellow birch,1.38200000000,16,pepe min,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
105,44.44092514460,-75.07257740550,Deciduous,Sugar maple,1.38200000000,19,pepe min,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
142,44.44025583400,-75.07361533620,Deciduous,Sugar maple,1.38200000000,56,pepe min,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
143,0.00000000000,0.00000000000,Deciduous,Sugar maple,1.38200000000,57,pepe min,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
144,44.43876746480,-75.07202207650,Deciduous,Juneberry,1.38200000000,58,pepe min,284,132859875,3/11/2005,2,,,0.00200000000,0.00000000000,431,43100,0.00263743127,247.43032904200,2321.97688701000
1,44.58649600190,-75.13796344240,Deciduous,Silver maple,3.52300000000,1,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
2,44.58636193710,-75.13969944150,,,3.52300000000,2,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
23,44.58656520780,-75.13797004730,Deciduous,Black ash,3.52300000000,23,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
24,44.58636685230,-75.13967654950,Deciduous,Black ash,3.52300000000,24,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
38,0.00000000000,0.00000000000,Deciduous,Beech?,3.52300000000,38,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
39,44.58660425070,-75.13513526790,Other,Aspen,3.52300000000,39,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,26.88908485540,17.35896332230
41,44.58523412240,-75.13551538350,Deciduous,Beech,3.52300000000,41,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
42,44.58362657010,-75.13783552980,Evergreen,Hemlock,3.52300000000,42,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
43,44.58404756300,-75.13902815970,Other,,3.52300000000,43,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
44,44.58325827700,-75.13975391680,Evergreen,,3.52300000000,44,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
45,44.58301844800,-75.14086813790,Other,Sugar Maple,3.52300000000,45,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
46,44.58302797320,-75.13591183930,Evergreen,,3.52300000000,46,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
47,44.58415298430,-75.14852186270,Other,Cherry,3.52300000000,47,pepe max,292,132859826,3/11/2005,2,,,0.00100000000,0.00000000000,431,43100,0.00147230399,142.59951159300,1231.61689616000
