Buffer_cam,FID_camera,FREQUENCY,SUM_Road_l,buffer_c_1
EF1_C0003,1728,5,492.29738248400,EF1_C0003
EF1_C0005,1730,18,0.00000000000,EF1_C0005
EF1_C0006,1731,1,200.96020988300,EF1_C0006
EF1_C0013,1738,37,0.00000000000,EF1_C0013
EF1_C0017,1742,16,0.00000000000,EF1_C0017
EF1_C0019,1744,20,0.00000000000,EF1_C0019
EF1_C0022,1747,27,0.00000000000,EF1_C0022
EF1_C0028,1753,6,0.00000000000,EF1_C0028
EF1_C0035,1760,2,279.89906326500,EF1_C0035
EF1_C0036,1761,15,0.00000000000,EF1_C0036
EF1_C0038,1763,7,0.00000000000,EF1_C0038
EF1_C0039,1764,3,270.89977525900,EF1_C0039
EF1_C0042,1767,46,0.00000000000,EF1_C0042
EF1_C0043,1768,18,0.00000000000,EF1_C0043
EF1_C0054,1779,12,0.00000000000,EF1_C0054
EF1_C0055,1780,58,0.00000000000,EF1_C0055
EF1_C0062,1787,37,0.00000000000,EF1_C0062
EF1_C0065,1790,8,0.00000000000,EF1_C0065
EF1_C0072,1797,1,0.00000000000,EF1_C0072
EF1_C0079,1804,42,0.00000000000,EF1_C0079
EF1_C0080,1805,8,0.00000000000,EF1_C0080
EF1_C0089,1814,13,0.00000000000,EF1_C0089
EF1_C0090,1815,18,0.00000000000,EF1_C0090
EF1_C0092,1817,4,0.00000000000,EF1_C0092
EF1_C0093,1818,1,432.83312456500,EF1_C0093
EF1_C0103,1828,4,380.89587671300,EF1_C0103
EF1_C0105,1830,2,419.67495539100,EF1_C0105
EF1_C0107,1832,11,0.00000000000,EF1_C0107
EF1_C0109,1834,4,392.15083740300,EF1_C0109
EF1_C0111,1836,3,305.92055278800,EF1_C0111
EF1_C0112,1837,8,1064.03332083000,EF1_C0112
EF1_C0116,1841,1,13.65130815140,EF1_C0116
EF1_C0117,1842,2,508.20768537300,EF1_C0117
EF1_C0123,1848,6,465.28812322500,EF1_C0123
EF1_C0124,1849,33,0.00000000000,EF1_C0124
EF1_C0126,1851,8,0.00000000000,EF1_C0126
EF1_C0127,1852,1,217.81321969300,EF1_C0127
EF1_C0128,1853,2,574.60541420500,EF1_C0128
EF1_C0129,1854,1,384.94182217000,EF1_C0129
EF1_C0131,1856,8,831.73407518300,EF1_C0131
EF1_C0133,1858,4,450.59808734900,EF1_C0133
EF1_C0134,1859,2,341.79422885500,EF1_C0134
EF1_C0136,1861,4,557.93799618800,EF1_C0136
EF1_C0137,1862,3,539.86677099400,EF1_C0137
EF1_C0138,1863,4,768.70266730500,EF1_C0138
EF1_C0139,1864,1,567.37906824600,EF1_C0139
EF1_C0140,1865,6,463.39965550700,EF1_C0140
EF1_C0141,1866,4,251.82252390500,EF1_C0141
EF1_C0143,1868,2,497.94126734100,EF1_C0143
EF1_C0148,1873,13,916.12753880900,EF1_C0148
EF1_C0149,1874,1,416.27683087800,EF1_C0149
EF1_C0150,1875,28,0.00000000000,EF1_C0150
EF1_C0151,1876,28,0.00000000000,EF1_C0151
EF1_C0156,1881,36,0.00000000000,EF1_C0156
EF1_C0177,1902,42,0.00000000000,EF1_C0177
EF1_C0178,1903,42,0.00000000000,EF1_C0178
